FullName,ExecutiveTitle,Company,City,State,PostalCode,ISICDivision,IndustryDescription,Sales,Assets,Employees
Yao Xinyi,Chairman of the Board,"Zhejiang Dun'an Artificial Env.Co., Ltd",Hangzhou,Zhejiang,310051,28,Manufacture of machinery and equipment n.e.c.,1071512,1676858,9374
Yao Xiurong,Chairman,"Shaanxi Atcop Electro Mechanical Equipment Co., Ltd.",Xi'an,Shaanxi,710000,46,"Wholesale trade, except of motor vehicles and motorcycles",930.9,748.9,20
Yao Yabo,Non-Executive Director,"Beijing Capital International Airport Co.,  Ltd.",Beijing,Beijing,100621,52,Warehousing and support activities for transportation,1226543,5146465,1646
Yao Yajiu,Chairman,"Taiko Plam-Oleo (Zhangjiagang) Co., Ltd.",Zhangjiagang,Jiangsu,215633,20,Manufacture of chemicals and chemical products,157330.5,143899.5,400
Yao Yao,Director,"Soyea Technology Co., Ltd.",Hangzhou,Zhejiang,310012,26,"Manufacture of computer, electronic and optical products",253883.1,824634,516
Yao Yi,Independent Director,Beijing VRV Software Corp Ltd,Beijing,Beijing,100081,58,Publishing activities,42645.5,127678.7,920
Yao Yi,Chairman,"Luster Lightvision Co., Ltd.",Beijing,Beijing,100089,46,"Wholesale trade, except of motor vehicles and motorcycles",35573.5,31539.1,220
Yao Yiming,Non-Executive Director,Guangzhou Automobile Group Co Ltd,Guangzhou,Guangdong,510623,29,"Manufacture of motor vehicles, trailers and semi-trailers",3631941,10058960,63081
Yao Ying,Director,Robust (Guangdong) Drinking Water Company Ltd.,Shanghai,Shanghai,201417,11,Manufacture of beverages,1581.9,1012.1,54
Yao Yong,Director,Shanghai Automation Instrumentation Co.,Shanghai,Shanghai,200072,26,"Manufacture of computer, electronic and optical products",167880.4,277174.8,1346
Yao Yu,Director,Inner Mongolia Htsn&Mnsd Drgt-Rstnc Grng,Huhehaote,Neimenggu,10030,81,Services to buildings and landscape activities,263946.8,565328.3,875
Yao Zaiyuan,Chairman,Gaoyou Shengguang Equipment Factory,Yangzhou,Jiangsu,225654,27,Manufacture of electrical equipment,33156.3,20819.8,282
Yao Zheng,Independent Director,Hakim Information Technology Co Ltd,Hangzhou,Zhejiang,310007,62,"Computer programming, consultancy and related activities",121104.9,201098.4,468
Yao Zheng,Independent Director,"Cosmos Group Co., Ltd",Hangzhou,Zhejiang,310006,41,Construction of buildings,273255.2,1380776,352
Yao Zhenguo,Chairman,"Dalian Haojia Business Co., Ltd.",Dalian,Liaoning,116000,46,"Wholesale trade, except of motor vehicles and motorcycles",46.8,1022.2,15
Yao Zhengwang,Director,China Bicycle Co Holdings Ltd,Shenzhen,Guangdong,518030,30,Manufacture of other transport equipment,34422.2,8304,49
Yao Zhiqiang,Non-Executive Director,People's Insurance Co (Group) of China,Beijing,Beijing,100084,65,"Insurance, reinsurance and pension funding, except compulsory social security",57310040,126152104,184644
Yao Zhiyi,Chairman of the Board,Tangshan Sanyou Chemical Industries Co,Tangshan,Hebei,63305,20,Manufacture of chemicals and chemical products,2060641.1,3229668,15373
